id,node_id,seq,round_id,n_samples,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
1299,1,804,82,32,0.435913,0.223355,0.070702,0.119143,-95,4.5,t,2026-09-05 17:37:06.975176+00
1300,2,1320,82,32,0.444192,0.231222,0.085539,0.139202,-60,9.75,t,2026-09-05 17:37:59.647253+00
1301,1,808,82,32,0.435904,0.223356,0.070699,0.11914,-95,4.5,t,2026-09-05 17:38:06.819468+00
1302,2,1324,82,32,0.443365,0.230139,0.085922,0.139766,-59,9,t,2026-09-05 17:38:59.959698+00
1303,1,812,82,32,0.435899,0.223362,0.070703,0.119146,-95,5.25,t,2026-09-05 17:39:06.721897+00
1304,2,1328,83,32,0.440583,0.225821,0.087802,0.142529,-61,9.5,t,2026-09-05 17:39:59.410318+00
1305,1,816,83,32,0.435868,0.223379,0.070699,0.119144,-95,5.5,t,2026-09-05 17:40:06.89136+00
1306,2,1332,83,32,0.443286,0.22967,0.085427,0.139921,-60,11.75,t,2026-09-05 17:40:59.565001+00
1307,1,820,83,32,0.433335,0.219725,0.071631,0.121439,-94,5.25,t,2026-09-05 17:41:07.037088+00
1308,2,1336,83,32,0.442764,0.229456,0.085901,0.140617,-61,9.75,t,2026-09-05 17:41:59.798672+00
1309,2,1340,83,32,0.442205,0.229535,0.086164,0.141005,-59,9,t,2026-09-05 17:42:59.578396+00
1310,1,828,83,32,0.433219,0.219646,0.071571,0.121346,-94,5.25,t,2026-09-05 17:43:06.730324+00
1311,2,1344,83,32,0.441257,0.229306,0.086031,0.14081,-59,9,t,2026-09-05 17:43:59.686256+00
1312,1,832,83,32,0.433227,0.219674,0.071651,0.121435,-94,5,t,2026-09-05 17:44:06.913522+00
1313,1,836,84,32,0.432923,0.219534,0.071595,0.121353,-94,5.25,t,2026-09-05 17:45:06.929648+00
1314,2,1352,84,32,0.444246,0.231105,0.08452,0.14036,-59,9.5,t,2026-09-05 17:45:59.861493+00
1315,1,840,84,32,0.432846,0.219463,0.071508,0.121244,-95,5,t,2026-09-05 17:46:06.769239+00
1316,2,1356,84,32,0.443686,0.231016,0.084442,0.140245,-58,9.25,t,2026-09-05 17:46:59.606623+00
1317,1,844,84,32,0.432768,0.219404,0.071491,0.121218,-95,5.5,t,2026-09-05 17:47:07.087903+00
1318,2,1360,84,32,0.443465,0.231657,0.085153,0.141292,-60,9.25,t,2026-09-05 17:48:00.444451+00
1319,1,848,84,32,0.432699,0.219352,0.071506,0.121233,-94,5.5,t,2026-09-05 17:48:07.995219+00
1320,2,1364,84,32,0.442539,0.231208,0.085086,0.141193,-60,9.75,t,2026-09-05 17:48:59.828002+00
1321,1,852,84,32,0.432719,0.219378,0.071635,0.121379,-94,5,t,2026-09-05 17:49:06.785471+00
1322,2,1368,85,32,0.440097,0.228751,0.08659,0.143404,-58,9.25,t,2026-09-05 17:50:00.190727+00
1323,2,1372,85,32,0.439589,0.228297,0.086368,0.143078,-58,10,t,2026-09-05 17:50:59.94208+00
1324,1,860,85,32,0.430058,0.21871,0.070774,0.123993,-94,6,t,2026-09-05 17:51:09.731125+00
1325,2,1376,85,32,0.43925,0.22795,0.086629,0.143461,-57,9.5,t,2026-09-05 17:51:59.576084+00
1326,1,864,85,32,0.430044,0.218699,0.070819,0.124033,-94,5.5,t,2026-09-05 17:52:06.9197+00
1327,2,1380,85,32,0.43835,0.226918,0.086914,0.14388,-58,9.75,t,2026-09-05 17:52:59.641505+00
